Address,Latitude,Longitude
BADARPUR BORDER,28.4940776,77.3030192
BADAR PUR,23.0184013,90.878216
ALI VILLAGE,28.5160804,77.296615
SARITA VIHAR CROSSING,,
KALINDI KUNJ,28.542916,77.3101107
YAMUNA BRIDGE EAST CHECK POST,,
MAHAMAYA FLYOVER WEST,,
AMITY SCHOOL,28.45506215,77.07680728447758
NOIDA SEC37,,
NOIDA SEC43 POLICE CHOKI SADAR PUR,,
AGHA PUR VILLAGE,,
BAROLA VILLAGE,28.5449709,77.4001631
HINDON VIHAR MORE,,
SARIN FARM,,
SADAR PUR VILLAGE,23.96800815,91.21031031940903
NOIDA SEC82 MORE,,
HOUSARY COMPLEX PETROL PUMP,,
NOIDA PHII,,
NOIDA PHII PHOOL MANDI,,
PUNJAB KHORE DELHI INDIA,,
